video_id,sign_language,split
Bdj5MUf_3Hc,???,train
sIo8170zyMw,???,train
g2EhE7rk5ig,???,train
MpRSGG-3yIE,???,train
K6kmvLQMqf4,???,train
dT85-Q1FaeE,???,train
D04vbRn9hmg,???,test
GFCS9rBjiJ4,???,val
dXRGwiEINiQ,???,val
EOoS2kVS72c,???,train
SefFhZA2bYM,???,train
twSYVkpfz50,???,train
kgh0cJSWKrE,???,train
Pi6stTav_pk,???,train
qiYTDSgjdlY,???,train
68TyZnYkBIw,???,train
taDmvyIs2o4,???,train
wQd4oRcjzYI,???,train
k_9YVc0kB5M,???,train
H36Uf4lmmi4,???,train
P0WN55x-KlY,???,train
_0_SnXw0jak,???,train
Tww2Ai9qzlY,???,val
kPP9s0O_TAs,???,val
T_z3mnNFUaI,???,train
NyZYIH5O0EM,???,train
jPHcGzrH0Eg,???,test
GCkixNudBfA,???,train
jmuSF4IQfyA,???,test
6346g3bpVWM,???,train
Dbwb7-DRNW8,???,train
oaRZwzq7PKw,???,train
SSWVI0hb1dY,???,train
Qo46gKddQ0U,???,train
PRqV4mRk5zo,???,train
F1a7EAkU72c,???,test
J4cBmMw6JhM,???,train
Xan9eD-7_NQ,???,train
Aaw85EJgKXQ,???,train
lQaBv9-QBn4,???,train
_vS7E7JGc_4,???,train
fPACsFn2uIo,???,train
0ApaecT3eXA,???,train
1njnJ1osovw,???,train
qIkpHE4u01E,???,train
-_2fevmeiZA,???,train
22FOL6DTxgw,???,train
5U6mmvbzzi8,???,train
fFugfEJrMHk,???,train
9e4M8th1Hkc,???,train
7B9Y-rXqSLA,???,train
0XPKtR9nOeM,???,train
cphvRMKUjw4,???,train
Aj33WBV7VVI,???,train
HMrVr3MvqnY,???,train
DsvocWRRcqs,???,val
rnX4VdFB9_8,???,train
vZUfjz4MiAM,???,test
zHMbGt2PHu4,???,train
u7BNEj5VvwY,???,val
b9Br06FOaDs,???,train
SgCLZBrw7r4,???,train
LBMJS02Wnig,???,test
Zwc8FmXnpVs,???,train
3sXIyc-cnJE,???,train
fy4rz625IK8,???,train
ucYTWGTRZMc,???,train
V5J40Xl0p6s,???,train
oUOqeMfG1Lw,???,train
7j8kcWo2x5Q,???,train
oPnv_uj0o5U,???,test
fLOFUIg3ld4,???,train
YuMZJ0B_QXE,???,train
fGmQgQj-8t4,???,train
hI9034SCDzQ,???,train
pMzmOKCyQxA,???,train
ZHFH6iLRpQw,???,train
ZqtK5l6HBBc,???,train
BnnkQNjaqgo,???,train
3DFTI6mcUBk,???,train
_3JdFgYGqW8,???,train
QLfDi3DSSPI,???,train
7t7JsCG3Xdc,???,train
obRuyUD3ESk,???,train
N5asubwnQuY,???,train
MwHOIylCP-8,???,train
QtBelZmxHeI,???,train
yCLdc92Syu0,???,train
4m6FgJ5Z0wE,???,train
nOSoaoy0u4E,???,train
e2RvUwATIgQ,???,train
_Amn5FDtF7o,???,train
Hbo4keulvqo,???,train
PJ2FvxVn0FM,???,train
a1DTlzXw56o,???,train
v1RsQthbrZU,???,train
J1UMgR_L6Og,???,train
WRpp45BXmG8,???,train
acZCivsDL1w,???,train
ocRHCHgC290,???,train
ZacPRRMnVMg,???,train
nWQij8C7mI0,???,train
bLvDErY5YpA,???,train
NMlo39v-s90,???,train
m8Q500-G9aU,???,train
sWDukGpogSQ,???,train
8TuwFlWKIn8,???,train
tG_vb1vgNb4,???,train
h9ECoiTrW_o,???,val
9i3M5ONuLvQ,???,train
PqfFioGL2IQ,???,train
MkQpzJenYks,???,train
5HWUFMuvZMM,???,train
NnR7Iq1X5gs,???,train
Fa9IzJ8zsaQ,???,train
gCtfLfXfIFc,???,train
nHUhhrJNuik,???,train
s47WGZGs7lw,???,train
OLgbYiIpooI,???,train
QWueZTJ7MVM,???,train
6-Tcf0eEKgo,???,train
M6eoQXRxJI8,???,train
te2N3biveCE,???,train
LlAmay31uVc,???,train
nesoB0vK7Kk,???,train
xbhwAjTcmQw,???,train
2d9CDXg2UG0,???,train
Ca8XZ4Uc1hk,???,train
Z-HmTHsdg_A,???,train
dCmPPDLp__0,???,train
mQGeBDMb2q8,???,train
ivmuFdWA2Mo,???,train
fxU5IId30Gs,???,train
mnBJq1I45Pw,???,train
E01KUdarKlM,???,train
MrDaWBMR9Qg,???,train
nXN-aUgKIdQ,???,train
5NFlMIdExE4,???,train
